Divisione,Addetti_2019,Localizzazioni_2019,Addetti_2025,Localizzazioni_2025,Var_Addetti,Var_Perc_Addetti,Var_Localizzazioni,Codice_ATECO,Descrizione_ATECO
95,62416,42330,307738.0,142439.0,245322.0,393.043450397334,100109.0,95,RIPARAZIONE DI COMPUTER E DI BENI PER USO PERSONALE E PER LA CASA
43,966520,521754,1145086.0,544594.0,178566.0,18.475147953482598,22840.0,43,LAVORI DI COSTRUZIONE SPECIALIZZATI
47,2028979,1043508,2194714.0,1039147.0,165735.0,8.168394054349502,-4361.0,47,COMMERCIO AL DETTAGLIO (ESCLUSO QUELLO DI AUTOVEICOLI E DI MOTOCICLI)
56,1478382,444219,1638559.0,454636.0,160177.0,10.834615140065287,10417.0,56,ATTIVITÀ DEI SERVIZI DI RISTORAZIONE
41,466986,271402,599529.0,258868.0,132543.0,28.382649586925517,-12534.0,41,COSTRUZIONE DI EDIFICI
62,288370,62340,380417.0,72948.0,92047.0,31.919755869195825,10608.0,62,"PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITÀ CONNESSE"
46,1023643,539191,1114232.0,517718.0,90589.0,8.849667315655946,-21473.0,46,COMMERCIO ALL'INGROSSO (ESCLUSO QUELLO DI AUTOVEICOLI E DI MOTOCICLI)
81,544095,78973,628813.0,90086.0,84718.0,15.570442661667538,11113.0,81,ATTIVITÀ DI SERVIZI PER EDIFICI E PAESAGGIO
52,405289,46784,481787.0,48840.0,76498.0,18.874926287167924,2056.0,52,MAGAZZINAGGIO E ATTIVITÀ DI SUPPORTO AI TRASPORTI
78,398655,4491,461683.0,5276.0,63028.0,15.810161668610704,785.0,78,"ATTIVITÀ DI RICERCA, SELEZIONE, FORNITURA DI PERSONALE"
49,585580,141364,641636.0,135329.0,56056.0,9.572731309129411,-6035.0,49,TRASPORTO TERRESTRE E TRASPORTO MEDIANTE CONDOTTE
87,209190,16052,262837.0,19239.0,53647.0,25.645107318705485,3187.0,87,SERVIZI DI ASSISTENZA SOCIALE RESIDENZIALE
88,261879,20068,308130.0,21089.0,46251.0,17.661209948105807,1021.0,88,ASSISTENZA SOCIALE NON RESIDENZIALE
86,226503,29871,272481.0,38070.0,45978.0,20.299068886504816,8199.0,86,ASSISTENZA SANITARIA
85,160494,43620,204381.0,52241.0,43887.0,27.344947474671947,8621.0,85,ISTRUZIONE
68,190908,275595,233547.0,322084.0,42639.0,22.334841913382363,46489.0,68,ATTIVITÀ IMMOBILIARI
33,143379,41235,185651.0,48242.0,42272.0,29.482699698003195,7007.0,33,"RIPARAZIONE, MANUTENZIONE ED INSTALLAZIONE DI MACCHINE ED APPARECCHIATURE"
42,78198,13761,117479.0,14780.0,39281.0,50.232742525384275,1019.0,42,INGEGNERIA CIVILE
10,418126,76546,456277.0,74855.0,38151.0,9.12428311083262,-1691.0,10,INDUSTRIE ALIMENTARI
70,165398,78705,203295.0,94804.0,37897.0,22.912610793359047,16099.0,70,ATTIVITÀ DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE
