Divisione,Addetti_2019,Localizzazioni_2019,Addetti_2025,Localizzazioni_2025,Var_Addetti,Var_Perc_Addetti,Var_Localizzazioni,Codice_ATECO,Descrizione_ATECO
45,408974,196700,0.0,0.0,-408974.0,-100.0,-196700.0,45,COMMERCIO ALL'INGROSSO E AL DETTAGLIO E RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI
15,155303,24227,146522.0,20467.0,-8781.0,-5.654108420313838,-3760.0,15,FABBRICAZIONE DI ARTICOLI IN PELLE E SIMILI
13,116751,19633,109543.0,16982.0,-7208.0,-6.173822922287604,-2651.0,13,INDUSTRIE TESSILI
18,73684,20561,67282.0,17661.0,-6402.0,-8.688453395581131,-2900.0,18,STAMPA E RIPRODUZIONE DI SUPPORTI REGISTRATI
14,208804,52894,202627.0,46384.0,-6177.0,-2.9582766613666407,-6510.0,14,CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO; CONFEZIONE DI ARTICOLI IN PELLE E PELLICCIA
64,338726,46849,332626.0,58857.0,-6100.0,-1.8008655963817362,12008.0,64,ATTIVITÀ DI SERVIZI FINANZIARI (ESCLUSE LE ASSICURAZIONI E I FONDI PENSIONE)
29,151591,5276,146374.0,5147.0,-5217.0,-3.441497186508434,-129.0,29,"FABBRICAZIONE DI AUTOVEICOLI, RIMORCHI E SEMIRIMORCHI"
26,116187,13038,113670.0,10974.0,-2517.0,-2.16633530429394,-2064.0,26,"FABBRICAZIONE DI COMPUTER E PRODOTTI DI ELETTRONICA E OTTICA; APPARECCHI ELETTROMEDICALI, APPARECCHI DI MISURAZIONE E DI OROLOGI"
53,137315,17398,134932.0,18709.0,-2383.0,-1.735425845683283,1311.0,53,SERVIZI POSTALI E ATTIVITÀ DI CORRIERE
61,66907,12881,64528.0,10195.0,-2379.0,-3.5556817672291388,-2686.0,61,TELECOMUNICAZIONI
16,104976,36957,102641.0,31795.0,-2335.0,-2.2243179393385155,-5162.0,16,INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO (ESCLUSI I MOBILI); FABBRICAZIONE DI ARTICOLI IN PAGLIA E MATERIALI DA INTRECCIO
19,25912,1011,23744.0,897.0,-2168.0,-8.36677987033035,-114.0,19,FABBRICAZIONE DI COKE E PRODOTTI DERIVANTI DALLA RAFFINAZIONE DEL PETROLIO
03,25476,12496,24360.0,11676.0,-1116.0,-4.380593499764484,-820.0,03,PESCA E ACQUACOLTURA
94,8460,3176,7895.0,3467.0,-565.0,-6.678486997635933,291.0,94,ATTIVITÀ DI ORGANIZZAZIONI ASSOCIATIVE
08,17054,6083,16809.0,5461.0,-245.0,-1.4366131112935383,-622.0,08,ALTRE ATTIVITÀ DI ESTRAZIONE DI MINERALI DA CAVE E MINIERE
09,1350,165,1107.0,159.0,-243.0,-18.0,-6.0,09,ATTIVITÀ DEI SERVIZI DI SUPPORTO ALL'ESTRAZIONE
24,117043,5453,116921.0,5034.0,-122.0,-0.10423519561186913,-419.0,24,METALLURGIA
06,720,106,614.0,101.0,-106.0,-14.722222222222223,-5.0,06,ESTRAZIONE DI PETROLIO GREGGIO E DI GAS NATURALE
07,52,35,9.0,21.0,-43.0,-82.6923076923077,-14.0,07,ESTRAZIONE DI MINERALI METALLIFERI
97,13,24,13.0,26.0,0.0,0.0,2.0,97,ATTIVITÀ DI FAMIGLIE E CONVIVENZE COME DATORI DI LAVORO PER PERSONALE DOMESTICO
